participantnum,stimulusid,stimulustype,state_or_event,orientation,position,length,delay,response
14,branch_RTSE1,dualbranch,event,right,top,short,2.0,RC_IC
14,branch_RTME2,dualbranch,event,right,bottom,medium,4.0,RC
14,chain_RS,chain,,right,,short,,RC_IC
14,branch_RTSS,dualbranch,state,right,top,short,,RC_IC
14,chain_RL,chain,,right,,long,,RC
14,chain_RM,chain,,right,,medium,,RC
14,branch_RTLE1,dualbranch,event,right,bottom,long,2.0,RC
14,branch_RTSE2,dualbranch,event,right,top,short,4.0,RC_IC
14,branch_RTMS,dualbranch,state,right,bottom,medium,,RC
14,branch_RTME1,dualbranch,event,right,bottom,medium,2.0,RC
14,branch_RTLE2,dualbranch,event,right,bottom,long,4.0,RC
14,branch_RTME3,dualbranch,event,right,bottom,medium,6.0,RC
14,branch_RTLE3,dualbranch,event,right,top,long,6.0,RC
14,branch_RTLS,dualbranch,state,right,bottom,long,,RC
15,branch_RTME2,dualbranch,event,left,bottom,medium,4.0,RC
15,branch_RTSE1,dualbranch,event,left,top,short,2.0,RC_IC
15,branch_RTLE3,dualbranch,event,left,bottom,long,6.0,RC
15,branch_RTSE3,dualbranch,event,left,bottom,short,6.0,RC_IC
15,branch_RTLE2,dualbranch,event,left,bottom,long,4.0,RC
15,branch_RTLE1,dualbranch,event,left,bottom,long,2.0,RC
15,branch_RTMS,dualbranch,state,left,bottom,medium,,RC
15,chain_RS,chain,,left,,short,,RC_IC
15,chain_RM,chain,,left,,medium,,RC
15,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RC_IC
15,branch_RTME1,dualbranch,event,left,bottom,medium,2.0,RC
15,branch_RTME3,dualbranch,event,left,bottom,medium,6.0,RC
15,branch_RTSS,dualbranch,state,left,bottom,short,,RC_IC
15,chain_RL,chain,,left,,long,,RC
15,branch_RTLS,dualbranch,state,left,bottom,long,,RC
16,branch_RTME2,dualbranch,event,left,top,medium,4.0,IC
16,branch_RTME1,dualbranch,event,left,bottom,medium,2.0,IC
16,chain_RL,chain,,left,,long,,RC
16,branch_RTME3,dualbranch,event,left,bottom,medium,6.0,IC
16,chain_RM,chain,,left,,medium,,RC
16,branch_RTLS,dualbranch,state,left,bottom,long,,IC
16,branch_RTSE1,dualbranch,event,left,top,short,2.0,RC_IC
16,branch_RTMS,dualbranch,state,left,top,medium,,IC
16,branch_RTSE3,dualbranch,event,left,bottom,short,6.0,RC_IC
16,branch_RTLE1,dualbranch,event,left,top,long,2.0,IC
16,branch_RTLE2,dualbranch,event,left,bottom,long,4.0,IC
16,branch_RTLE3,dualbranch,event,left,bottom,long,6.0,IC
16,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RC_IC
16,branch_RTSS,dualbranch,state,left,top,short,,RC_IC
16,chain_RS,chain,,left,,short,,RC_IC
17,branch_RTME3,dualbranch,event,left,bottom,medium,6.0,RD
17,branch_RTLE1,dualbranch,event,left,top,long,2.0,RD
17,branch_RTSE1,dualbranch,event,left,bottom,short,2.0,RD_ID
17,branch_RTME1,dualbranch,event,left,bottom,medium,2.0,RD
17,branch_RTSE3,dualbranch,event,left,top,short,6.0,RD_ID
17,branch_RTLE3,dualbranch,event,left,bottom,long,6.0,RD
17,branch_RTSS,dualbranch,state,left,bottom,short,,RC_IC
17,chain_RS,chain,,left,,short,,RC_IC
17,chain_RL,chain,,left,,long,,RC
17,branch_RTMS,dualbranch,state,left,bottom,medium,,RC
17,branch_RTLE2,dualbranch,event,left,top,long,4.0,RC
17,branch_RTLS,dualbranch,state,left,bottom,long,,RC
17,chain_RM,chain,,left,,medium,,RC
17,branch_RTME2,dualbranch,event,left,top,medium,4.0,RD
17,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RC_IC
18,chain_RM,chain,,right,,medium,,RC
18,chain_RS,chain,,right,,short,,RC_IC
18,branch_RTSE1,dualbranch,event,right,top,short,2.0,RD_ID
18,branch_RTLE1,dualbranch,event,right,top,long,2.0,RD
18,branch_RTLE3,dualbranch,event,right,top,long,6.0,RD
18,branch_RTSE3,dualbranch,event,right,top,short,6.0,RC_IC
18,branch_RTME3,dualbranch,event,right,top,medium,6.0,RC
18,branch_RTLE2,dualbranch,event,right,bottom,long,4.0,RC
18,branch_RTME1,dualbranch,event,right,top,medium,2.0,RC
18,branch_RTSE2,dualbranch,event,right,top,short,4.0,RC_IC
18,branch_RTLS,dualbranch,state,right,bottom,long,,RC
18,branch_RTME2,dualbranch,event,right,top,medium,4.0,RC
